,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Qaqortoq,60.72,-46.03,42.8,41,0,2.24,GL,1601236435
1,Kahului,20.89,-156.47,84.2,54,20,13.87,US,1601236435
2,Bucerías,20.75,-105.33,89.01,70,20,9.17,MX,1601236436
3,Mitsamiouli,-11.38,43.28,76.69,77,11,14.07,KM,1601236436
4,Sørland,67.67,12.69,46.4,52,9,5.82,NO,1601236436
5,Kapaa,22.08,-159.32,84.2,66,40,10.29,US,1601236395
6,Huarmey,-10.07,-78.15,68.14,66,8,10.18,PE,1601236437
7,Osakarovka,50.56,72.57,38.32,76,0,1.63,KZ,1601236437
8,Cape Town,-33.93,18.42,52,76,20,4.7,ZA,1601236405
9,Saint George,37.1,-113.58,87.01,23,1,8.05,US,1601236246
10,Mataura,-46.19,168.86,35.01,95,100,5.99,NZ,1601236438
11,Scottsbluff,41.87,-103.67,62.6,25,20,26.4,US,1601236438
12,Port Alfred,-33.59,26.89,54.1,65,3,3.31,ZA,1601236438
13,Yellowknife,62.46,-114.35,46.4,81,90,11.41,CA,1601236438
14,Calvinia,-31.47,19.78,44.1,62,0,4.54,ZA,1601236439
15,Puerto Ayora,-0.74,-90.35,70,88,80,11.01,EC,1601236235
16,Adrar,20.5,-10.07,96.48,14,0,12.95,MR,1601236439
17,Port-Gentil,-0.72,8.78,77,78,40,10.29,GA,1601236439
18,Bambous Virieux,-20.34,57.76,73,83,40,11.41,MU,1601236440
19,Lachi,33.38,71.34,79.45,38,0,3.2,PK,1601236440
21,Nouadhibou,20.93,-17.03,75.2,73,0,21.92,MR,1601236440
22,Tessalit,20.2,1.01,90.27,11,0,3.94,ML,1601236440
23,Iqaluit,63.75,-68.51,33.8,74,75,10.29,CA,1601236441
24,Punta Arenas,-53.15,-70.92,53.6,50,75,24.16,CL,1601236417
25,Rikitea,-23.12,-134.97,74.25,81,1,13.24,PF,1601236255
26,Ntoum,0.38,9.78,78.8,78,40,9.17,GA,1601236441
27,Hella,67.2,14.43,52,62,61,26.4,NO,1601236441
28,Tuktoyaktuk,69.45,-133.04,37.4,93,90,5.82,CA,1601236442
32,Vestmannaeyjar,63.44,-20.27,47.73,79,92,19.91,IS,1601236442
34,Conceição do Araguaia,-8.26,-49.26,95.36,29,65,3.44,BR,1601236443
35,Ushuaia,-54.8,-68.3,44.6,56,75,17.22,AR,1601236443
36,Hermanus,-34.42,19.23,43,90,1,0.67,ZA,1601236443
37,Vaini,-21.2,-175.2,71.6,83,20,4.7,TO,1601236444
39,Busselton,-33.65,115.33,54,89,32,9.42,AU,1601236444
40,Maniitsoq,65.42,-52.9,36.54,80,12,10.31,GL,1601236444
41,San Jose,37.34,-121.89,89.01,20,40,17.22,US,1601236217
42,Vigrestad,58.57,5.7,57,99,1,3.6,NO,1601236445
43,Faanui,-16.48,-151.75,78.44,79,4,14.14,PF,1601236445
44,Chanal,16.72,-92.4,84.2,66,40,2.24,MX,1601236445
45,Bandarbeyla,9.49,50.81,76.69,83,51,19.39,SO,1601236445
46,Avarua,-21.21,-159.78,75.2,73,55,9.17,CK,1601236446
47,Dikson,73.51,80.55,37.42,77,100,26.37,RU,1601236446
48,Puerto Peñasco,31.32,-113.53,88,64,0,5.99,MX,1601236446
49,Qaanaaq,77.48,-69.36,14.04,78,0,6.31,GL,1601236447
50,Saint-Philippe,-21.36,55.77,68,64,100,5.82,RE,1601236447
51,Senador José Porfírio,-2.59,-51.95,87.93,57,100,0.83,BR,1601236447
52,Varhaug,58.61,5.65,57,99,1,3.31,NO,1601236447
53,Marau,-28.45,-52.2,80.82,70,80,2.89,BR,1601236448
54,Saldanha,-33.01,17.94,50,71,0,4.7,ZA,1601236448
55,Bako,5.78,36.57,65.62,84,100,3.49,ET,1601236448
56,Athabasca,54.72,-113.29,54.45,60,42,12.71,CA,1601236449
57,Pashkovskiy,45.02,39.11,73.99,56,8,13.42,RU,1601236449
58,Vaitape,-16.52,-151.75,79.27,78,4,13.98,PF,1601236449
59,Lewistown,40.6,-77.57,78.8,54,40,9.17,US,1601236449
60,Bredasdorp,-34.53,20.04,50,76,0,1.12,ZA,1601236450
61,Santa Isabel Rio Negro,-0.41,-65.02,93.22,45,39,1.7,BR,1601236450
62,Grindavik,63.84,-22.43,44.6,93,75,8.05,IS,1601236450
63,Kontagora,10.4,5.47,75.38,82,95,2.28,NG,1601236450
64,Hobyo,5.35,48.53,76.37,90,100,14.25,SO,1601236451
65,Bekovo,52.47,43.71,50.99,46,0,9.93,RU,1601236451
66,Hilo,19.73,-155.09,78.8,61,40,4.7,US,1601236394
67,Masaka,-0.33,31.73,67.05,87,65,5.79,UG,1601236451
68,Jamestown,42.1,-79.24,75.99,60,1,14.99,US,1601236451
69,Glenwood Springs,39.55,-107.32,66.2,42,1,14.99,US,1601236257
70,Ostrovnoy,68.05,39.51,40.14,82,20,7.87,RU,1601236452
71,Bethel,41.37,-73.41,77,65,75,6.93,US,1601236452
72,Hong Kong,22.29,114.16,80.01,88,100,1.01,HK,1601236366
73,Lebu,-37.62,-73.65,54.14,72,0,13.87,CL,1601236452
74,Trairi,-3.28,-39.27,79.81,70,0,14.74,BR,1601236453
75,Saint Paul Harbor,57.79,-152.41,48.2,87,90,9.17,US,1601236453
76,Upernavik,72.79,-56.15,28.58,96,100,8.57,GL,1601236454
77,Walvis Bay,-22.96,14.51,59,47,0,13.87,NA,1601236454
78,Killybegs,54.63,-8.45,57.2,100,90,9.17,IE,1601236454
81,Kalashnikovo,57.28,35.23,51.3,70,54,7.63,RU,1601236455
82,Torbay,47.67,-52.73,66,77,90,24.16,CA,1601236455
83,Seminole,28.71,-81.21,88,79,75,8.05,US,1601236423
84,Nueve de Julio,-35.44,-60.88,62.01,72,100,8.99,AR,1601236215
85,Hualmay,-11.1,-77.61,67.28,68,9,9.69,PE,1601236456
86,Pampa,35.54,-100.96,73.4,49,90,25.28,US,1601236456
87,Fairview,40.81,-74,82,61,90,3.36,US,1601236457
88,Aklavik,68.22,-135.01,33.8,86,75,2.24,CA,1601236457
89,Edd,13.93,41.69,88.43,68,100,4.72,ER,1601236457
90,Margate,51.38,1.39,55,90,100,4,GB,1601236457
91,Río Gallegos,-51.62,-69.22,64.4,22,75,20.8,AR,1601236402
92,Adwa,14.16,38.9,63.66,66,5,0.18,ET,1601236458
94,Castro,-24.79,-50.01,77.76,55,100,6.91,BR,1601236440
95,Bodden Town,19.28,-81.25,90,75,20,4.7,KY,1601236458
96,Sulphur Springs,33.14,-95.6,86,62,90,20.8,US,1601236458
98,Port-Cartier,50.03,-66.87,51.01,100,90,8.05,CA,1601236459
99,Cervo,43.67,-7.41,48.99,1,0,3.29,ES,1601236459
100,Ponta do Sol,32.67,-17.1,71.6,68,75,11.41,PT,1601236459
101,Mossamedes,-15.2,12.15,65.23,83,96,3.6,AO,1601236460
102,São Filipe,14.9,-24.5,80.4,82,34,6.38,CV,1601236460
